"source","target","ligand.complex","ligand","receptor.complex","receptor","receptor.prop","ligand.prop","ligand.expr","receptor.expr","ligand.sum","receptor.sum","prod_weight","edge_specificity"
"Endothelial","OPC-like-tumor","DLL1","DLL1","NOTCH1","NOTCH1",0.529296875,0.11037527593819,0.0882343345360686,0.650090548110981,0.502988877122612,5.70075516645327,0.0573603069007605,0.0200041773151917
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH1","NOTCH1",0.529296875,0.609271523178808,0.605828428468368,0.650090548110981,6.16419881174017,5.70075516645327,0.393843335124216,0.0112076477668528
"Endothelial","OPC-like-tumor","WNT5A","WNT5A","FZD2","FZD2",0.236328125,0.17439293598234,0.140290111518914,0.255688121995432,1.74120687293921,1.55584438333641,0.035870515148801,0.0132410091185095
"Endothelial","OPC-like-tumor","CSF1","CSF1","CSF1R","CSF1R",0.72265625,0.56953642384106,0.549918705343713,1.05121691008296,4.57310994182944,6.0325686364193,0.578083842228241,0.0209544813787635
"Endothelial","OPC-like-tumor","TNFSF10","TNFSF10","TNFRSF10B","TNFRSF10B",0.345703125,0.251655629139073,0.218423011810254,0.408754434478022,1.57644482002939,4.71332776697869,0.0892813746694866,0.0120158487451536
"Endothelial","OPC-like-tumor","TGFB1","TGFB1","TGFBR3","TGFBR3",0.130859375,0.41280353200883,0.368512825940887,0.142491046730227,5.13415746421799,0.844507486269524,0.0525097783018309,0.0121106512115947
"Endothelial","OPC-like-tumor","JAG1","JAG1","NOTCH2","NOTCH2",0.541015625,0.609271523178808,0.605828428468368,0.676799900663916,6.16419881174017,6.08897770856195,0.410024620206768,0.0109241816595242
"Endothelial","OPC-like-tumor","PDGFC","PDGFC","PDGFRA","PDGFRA",0.103515625,0.607064017660044,0.617586862004144,0.109805710351648,4.87137131564042,0.614672087236892,0.0678145640862099,0.0226479161273547
"Endothelial","OPC-like-tumor","PDGFA","PDGFA","PDGFRA","PDGFRA",0.103515625,0.532008830022075,0.525796181409015,0.109805710351648,3.16567926688524,0.614672087236892,0.0577354231998006,0.0296709840252077
"Endothelial","OPC-like-tumor","PDGFB","PDGFB","PDGFRA","PDGFRA",0.103515625,0.158940397350993,0.134244385412909,0.109805710351648,1.85866767422884,0.614672087236892,0.0147408001009849,0.012902557973144
"Endothelial","OPC-like-tumor","PDGFB","PDGFB","PDGFRA_PDGFRB","PDGFRA",0.103515625,0.158940397350993,0.134244385412909,0.556758772350028,1.85866767422884,3.38551349182915,0.0747417392173754,0.011877824520869
"Endothelial","OPC-like-tumor","FGF1","FGF1","FGFR1","FGFR1",0.5078125,0.898454746136865,1.17660385653067,0.618738686330357,9.55684676057852,6.50150041535226,0.728010324521018,0.0117168082195179
"Endothelial","OPC-like-tumor","EFNA1","EFNA1","EPHA2","EPHA2",0.3515625,0.306843267108168,0.282949828353058,0.387699037305317,3.42100435751953,3.10974601685925,0.109699376058185,0.0103115893628423
"Endothelial","OPC-like-tumor","GAS6","GAS6","AXL","AXL",0.630859375,0.403973509933775,0.35833056784518,0.869965621967157,2.92866620309264,6.6461095926131,0.311735275325276,0.01601579772161
"Endothelial","OPC-like-tumor","GAS6","GAS6","MERTK","MERTK",0.1796875,0.403973509933775,0.35833056784518,0.184010956025177,2.92866620309264,1.89823366366076,0.0659367503622361,0.0118606364181621
"Endothelial","OPC-like-tumor","DLL1","DLL1","NOTCH2","NOTCH2",0.541015625,0.11037527593819,0.0882343345360686,0.676799900663916,0.502988877122612,6.08897770856195,0.0597169888491579,0.0194982275930191
"Endothelial","OPC-like-tumor","CCN3","CCN3","NOTCH1","NOTCH1",0.529296875,0.141280353200883,0.121667229454055,0.650090548110981,1.50281176831695,5.70075516645327,0.0790947158829312,0.00923231244162579
"Endothelial","OPC-like-tumor","PDGFD","PDGFD","PDGFRB","PDGFRB",0.6796875,0.494481236203091,0.466053700048953,1.00371183434841,3.76808135356972,6.15635489642141,0.467783614180997,0.0201651328045389
"Endothelial","OPC-like-tumor","EFNB1","EFNB1","EPHB3","EPHB3",0.123046875,0.23841059602649,0.196440600036945,0.128905361397274,1.88940542944449,0.675355887412448,0.0253222465408597,0.019844692950721
"Endothelial","OPC-like-tumor","PTN","PTN","ALK","ALK",0.125,1,2.07665433739282,0.129211469968342,18.2433047259898,1.93529224260472,0.268327559550659,0.00760002835404462
"Endothelial","OPC-like-tumor","MDK","MDK","ALK","ALK",0.125,0.964679911699779,1.42583243317031,0.129211469968342,14.3971530363283,1.93529224260472,0.184233904618472,0.0066122060662767
"Endothelial","OPC-like-tumor","ALOX5","ALOX5","ALOX5AP","ALOX5AP",0.396484375,0.231788079470199,0.198491869599864,0.457800168702554,1.39063193771035,4.42701604982273,0.090869611388903,0.0147603064725312
