source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
MES-like,Astrocyte,GDF15,TGFBR2,0.007815114222466946,1.6119264364242554,0.8122023344039917,0.04957141902027183,0.0,GDF,Secreted Signaling,KEGG: hsa04350
MES-like,Astrocyte,WNT5A,FZD1,0.17316000163555145,0.004536369815468788,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD10,0.17316000163555145,0.0,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD2,0.17316000163555145,0.0,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD3,0.17316000163555145,0.006018901709467173,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD4,0.17316000163555145,0.01622709073126316,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD5,0.17316000163555145,0.007441600318998098,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD6,0.17316000163555145,0.10387283563613892,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD7,0.17316000163555145,0.0642775371670723,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD8,0.17316000163555145,0.0,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,FZD9,0.17316000163555145,0.003335137851536274,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5A,MCAM,0.17316000163555145,0.22344492375850677,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,PMID: 24335906
MES-like,Astrocyte,WNT5B,FZD1,0.3102201521396637,0.004536369815468788,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5B,FZD10,0.3102201521396637,0.0,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5B,FZD2,0.3102201521396637,0.0,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5B,FZD3,0.3102201521396637,0.006018901709467173,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
MES-like,Astrocyte,WNT5B,FZD4,0.3102201521396637,0.01622709073126316,0.8122023344039917,0.04957141902027183,0.0,ncWNT,Secreted Signaling,KEGG: hsa04310
