"ligand","receptor","pathway_name","annotation","evidence","ligand_receptor"
"TGFB1","TGFbR1_R2","TGFb","Secreted Signaling","KEGG: hsa04350","TGFB1_TGFbR1_R2"
"TGFB2","TGFbR1_R2","TGFb","Secreted Signaling","KEGG: hsa04350","TGFB2_TGFbR1_R2"
"TGFB3","TGFbR1_R2","TGFb","Secreted Signaling","KEGG: hsa04350","TGFB3_TGFbR1_R2"
"TGFB1","ACVR1B_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB1_ACVR1B_TGFbR2"
"TGFB1","ACVR1C_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB1_ACVR1C_TGFbR2"
"TGFB2","ACVR1B_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB2_ACVR1B_TGFbR2"
"TGFB2","ACVR1C_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB2_ACVR1C_TGFbR2"
"TGFB3","ACVR1B_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB3_ACVR1B_TGFbR2"
"TGFB3","ACVR1C_TGFbR2","TGFb","Secreted Signaling","PMID: 27449815","TGFB3_ACVR1C_TGFbR2"
"TGFB1","ACVR1_TGFbR","TGFb","Secreted Signaling","PMID: 29376829","TGFB1_ACVR1_TGFbR"
"TGFB2","ACVR1_TGFbR","TGFb","Secreted Signaling","PMID: 29376829","TGFB2_ACVR1_TGFbR"
"TGFB3","ACVR1_TGFbR","TGFb","Secreted Signaling","PMID: 29376829","TGFB3_ACVR1_TGFbR"
"BMP2","BMPR1A_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1A_ACVR2A"
"BMP2","BMPR1A_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1A_ACVR2B"
"BMP2","BMPR1A_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1A_BMPR2"
"BMP2","BMPR1B_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1B_ACVR2A"
"BMP2","BMPR1B_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1B_ACVR2B"
"BMP2","BMPR1B_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP2_BMPR1B_BMPR2"
"BMP4","BMPR1A_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1A_ACVR2A"
"BMP4","BMPR1A_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1A_ACVR2B"
"BMP4","BMPR1A_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1A_BMPR2"
"BMP4","BMPR1B_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1B_ACVR2A"
"BMP4","BMPR1B_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1B_ACVR2B"
"BMP4","BMPR1B_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","BMP4_BMPR1B_BMPR2"
"GDF5","BMPR1A_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1A_ACVR2A"
"GDF5","BMPR1A_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1A_ACVR2B"
"GDF5","BMPR1A_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1A_BMPR2"
"GDF5","BMPR1B_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1B_ACVR2A"
"GDF5","BMPR1B_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1B_ACVR2B"
"GDF5","BMPR1B_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF5_BMPR1B_BMPR2"
"GDF6","BMPR1A_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1A_ACVR2A"
"GDF6","BMPR1A_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1A_ACVR2B"
"GDF6","BMPR1A_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1A_BMPR2"
"GDF6","BMPR1B_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1B_ACVR2A"
"GDF6","BMPR1B_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1B_ACVR2B"
"GDF6","BMPR1B_BMPR2","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF6_BMPR1B_BMPR2"
"GDF7","BMPR1A_ACVR2A","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF7_BMPR1A_ACVR2A"
"GDF7","BMPR1A_ACVR2B","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","GDF7_BMPR1A_ACVR2B"
